Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768645439,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768645440,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768645441,100,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,11,0,1492.8139969999997,1474.2724424545454,1428.4836190000005,1492.8139969999997,3460.090909090909
1768645442,100,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2400,2400,2400,2400,2400,24,0,2300.0,1924.2408097916662,1428.4836190000005,2364.2302329999998,3459.6666666666665
1768645443,100,,Aggregated,0.000000,0.000000,2300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,41,0,2300.0,2489.0775148536586,1428.4836190000005,3335.172128,3459.2195121951218
1768645444,100,,Aggregated,3.666667,0.000000,3300,4300,4400,4400,4500,4800,4900,4900,4900,4900,4900,63,0,3300.0,3200.4847351746034,1428.4836190000005,4901.633812,3459.5873015873017
1768645445,100,,Aggregated,6.000000,0.000000,3300,4400,4400,4500,4900,5100,5400,5500,5500,5500,5500,67,0,3300.0,3324.9954543432837,1428.4836190000005,5510.286257,3460.044776119403
1768645446,100,,Aggregated,8.200000,0.000000,4400,4800,5500,6100,6200,6700,6800,6900,6900,6900,6900,88,0,4400.0,4037.9206415454523,1428.4836190000005,6884.029029999999,3460.1477272727275
1768645447,100,,Aggregated,10.666667,0.000000,4400,5200,6100,6200,7300,7400,7600,7700,7700,7700,7700,98,0,4400.0,4386.394650663263,1428.4836190000005,7744.684755999999,3459.6530612244896
1768645448,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645449,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645450,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645451,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645452,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645453,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645454,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645455,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645456,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
1768645457,100,,Aggregated,10.666667,0.000000,4400,5500,6200,6200,7300,7600,7900,8000,8000,8000,8000,100,0,4400.0,4457.704459859997,1428.4836190000005,7975.602721,3459.62
