Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768632042,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768632043,2,,Aggregated,0.000000,0.000000,670,670,670,670,670,670,670,670,670,670,670,2,0,650.0,657.8628050000002,645.2796420000002,670.4459680000001,3456.0
1768632044,4,,Aggregated,0.000000,0.000000,650,650,670,670,670,670,670,670,670,670,670,4,0,650.0,654.1150622500002,645.2796420000002,670.4459680000001,3457.5
1768632045,6,,Aggregated,0.000000,0.000000,650,650,670,1700,1700,1700,1700,1700,1700,1700,1700,10,0,650.0,841.7672925999999,582.734238,1682.029135,5206.1
1768632046,8,,Aggregated,1.000000,0.000000,680,920,1700,1700,1800,1800,1800,1800,1800,1800,1800,16,0,670.0,954.8934476874999,582.734238,1844.8539820000005,6200.25
1768632047,10,,Aggregated,1.333333,0.000000,690,920,1700,1700,1800,2200,2200,2200,2200,2200,2200,22,0,680.0,1026.641905409091,582.734238,2235.115588,6248.272727272727
1768632048,12,,Aggregated,2.500000,0.000000,900,950,1100,1700,2200,2200,2300,2300,2300,2300,2300,30,0,890.0,1055.6838812333333,582.734238,2282.4405170000005,6814.533333333334
1768632049,14,,Aggregated,3.600000,0.000000,920,1000,1100,1700,2200,2300,2300,2300,2300,2300,2300,38,0,920.0,1066.6410564999999,582.734238,2337.1165180000003,7258.868421052632
1768632050,16,,Aggregated,4.000000,0.000000,920,1000,1100,1700,2200,2300,2400,2400,2400,2400,2400,43,0,920.0,1109.798589488372,582.734238,2364.0119690000006,7097.441860465116
1768632051,18,,Aggregated,4.428571,0.000000,930,1000,1200,1700,2300,2400,2700,2700,2700,2700,2700,55,0,930.0,1150.7334347090907,582.734238,2700.6110629999994,7455.054545454545
1768632052,20,,Aggregated,5.000000,0.000000,950,1000,1200,1700,2300,2400,2700,2700,2700,2700,2700,60,0,930.0,1137.3196886833332,582.734238,2700.6110629999994,7795.75
1768632053,22,,Aggregated,5.000000,0.000000,950,1000,1200,1400,2300,2700,3300,3300,3300,3300,3300,71,0,950.0,1188.7360227323938,582.734238,3279.876421000001,7661.957746478874
1768632054,24,,Aggregated,5.700000,0.000000,990,1100,1200,1700,2400,3300,3500,3600,3600,3600,3600,76,0,960.0,1271.0285265921045,582.734238,3560.419477,7745.394736842105
1768632055,26,,Aggregated,6.300000,0.000000,1000,1200,1700,2100,2700,3500,3900,4000,4000,4000,4000,91,0,1000.0,1391.5495660879114,582.734238,3958.2005769999996,8059.648351648351
1768632056,28,,Aggregated,6.900000,0.000000,1100,1300,1700,2200,2800,3600,3900,4000,4000,4000,4000,98,0,1100.0,1431.375015540816,582.734238,3958.2005769999996,8278.142857142857
1768632057,30,,Aggregated,7.400000,0.000000,1100,1300,1700,2200,2800,3600,3900,4000,4200,4200,4200,110,0,1100.0,1464.0255707363638,582.734238,4186.941977,8289.00909090909
1768632058,32,,Aggregated,8.300000,0.000000,1200,1400,1700,2200,2800,3800,4200,4200,4900,4900,4900,123,0,1200.0,1509.3834594715452,582.734238,4889.601756000001,8337.39837398374
1768632059,34,,Aggregated,8.600000,0.000000,1200,1500,1700,2100,2700,3800,4200,4200,4900,4900,4900,131,0,1200.0,1511.241759877863,582.734238,4889.601756000001,8321.358778625954
1768632060,36,,Aggregated,9.000000,0.000000,1300,1600,1800,2200,2800,3900,4900,5000,5200,5200,5200,143,0,1300.0,1588.7311475944057,582.734238,5155.063026999999,8418.37062937063
1768632061,38,,Aggregated,9.300000,0.000000,1300,1700,2000,2200,2800,3900,4900,5000,5200,5200,5200,150,0,1300.0,1617.5012835933333,582.734238,5155.063026999999,8462.84
1768632062,40,,Aggregated,9.300000,0.000000,1400,1800,2200,2300,2700,3800,4200,5000,5200,5200,5200,162,0,1400.0,1675.8399148641975,582.734238,5155.063026999999,8591.222222222223
1768632063,42,,Aggregated,9.900000,0.000000,1400,2000,2200,2300,2700,3800,4200,5000,5200,5200,5200,170,0,1400.0,1704.520810341177,582.734238,5155.063026999999,8619.358823529412
1768632064,44,,Aggregated,9.500000,0.000000,1500,2000,2200,2300,2700,3800,4200,5000,5200,5200,5200,177,0,1500.0,1726.2016373163854,582.734238,5155.063026999999,8588.02824858757
1768632065,46,,Aggregated,9.900000,0.000000,1600,2100,2300,2500,3000,4000,8100,8300,8300,8300,8300,191,0,1600.0,1904.3600335968595,582.734238,8274.756265,8601.884816753927
1768632066,48,,Aggregated,10.100000,0.000000,1700,2200,2300,2600,3000,4000,8100,8300,8300,8300,8300,198,0,1600.0,1932.3429985303035,582.734238,8274.756265,8701.38383838384
1768632067,50,,Aggregated,10.000000,0.000000,1800,2200,2500,2600,3100,4200,8200,8300,9000,9000,9000,210,0,1800.0,2025.6861460190482,582.734238,9045.034237,8661.042857142857
1768632068,52,,Aggregated,9.800000,0.000000,1800,2300,2500,2700,3100,4200,8200,8300,9000,9000,9000,220,0,1800.0,2061.152228045455,582.734238,9045.034237,8682.186363636363
1768632069,54,,Aggregated,9.600000,0.000000,2000,2300,2600,2700,3100,4000,8200,8300,9000,9000,9000,228,0,2000.0,2086.2680473421055,582.734238,9045.034237,8680.421052631578
1768632070,56,,Aggregated,9.700000,0.000000,2000,2400,2600,2700,3300,4200,8300,9000,12000,12000,12000,236,0,2000.0,2186.0765502203394,582.734238,11537.794575,8702.96186440678
1768632071,58,,Aggregated,9.600000,0.000000,2100,2500,2700,2900,3600,4200,8300,9000,12000,12000,12000,246,0,2100.0,2243.5459526097566,582.734238,11537.794575,8792.455284552845
1768632072,60,,Aggregated,9.700000,0.000000,2100,2500,2800,3000,3600,4200,8300,9000,12000,12000,12000,255,0,2100.0,2289.6751921960786,582.734238,11537.794575,8783.93725490196
1768632073,62,,Aggregated,9.200000,0.000000,2200,2600,2800,3100,3800,4400,9000,12000,13000,13000,13000,264,0,2200.0,2396.3450923522737,582.734238,13016.872360000001,8780.719696969696
1768632074,64,,Aggregated,9.500000,0.000000,2200,2600,3000,3300,4000,4900,9000,12000,13000,13000,13000,276,0,2200.0,2483.9706474239147,582.734238,13016.872360000001,8802.416666666666
1768632075,66,,Aggregated,9.700000,0.000000,2200,2700,3000,3300,3900,4800,9000,12000,13000,13000,13000,282,0,2200.0,2500.180681265959,582.734238,13016.872360000001,8765.606382978724
