Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768304767,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768304768,2,,Aggregated,0.000000,0.000000,610,610,610,610,610,610,610,610,610,610,610,2,0,563.4384780000001,587.8689285000003,563.4384780000001,612.2993790000004,3459.0
1768304769,4,,Aggregated,0.000000,0.000000,610,610,610,610,610,610,610,610,610,610,610,4,0,610.0,599.1903430000002,563.4384780000001,613.6687280000003,3457.5
1768304770,6,,Aggregated,0.000000,0.000000,610,610,640,1800,1800,1800,1800,1800,1800,1800,1800,10,0,610.0,833.9938083000001,563.4384780000001,1787.2226319999997,4917.1
1768304771,8,,Aggregated,1.000000,0.000000,640,760,760,1800,1900,2000,2000,2000,2000,2000,2000,17,0,640.0,920.6465161176471,510.38300999999996,1978.1995210000005,4551.529411764706
1768304772,10,,Aggregated,2.000000,0.000000,760,790,860,1800,2000,2100,2200,2200,2200,2200,2200,26,0,750.0,972.2308723076924,510.38300999999996,2189.384414999999,4625.346153846154
1768304773,12,,Aggregated,2.500000,0.000000,730,770,860,1800,2100,2200,2200,2200,2200,2200,2200,36,0,720.0,970.9875534444444,510.38300999999996,2193.193921999999,4763.055555555556
1768304774,14,,Aggregated,3.600000,0.000000,730,780,860,1000,2000,2200,2200,2200,2200,2200,2200,45,0,730.0,936.3962378888889,510.38300999999996,2193.193921999999,4486.333333333333
1768304775,16,,Aggregated,4.833333,0.000000,760,860,880,1000,2100,2200,2500,2500,2500,2500,2500,55,0,760.0,978.6316522363637,510.38300999999996,2463.311774000001,4322.945454545455
1768304776,18,,Aggregated,5.571429,0.000000,780,870,1000,1100,2200,2500,2600,3000,3000,3000,3000,65,0,780.0,1033.9051657538464,510.38300999999996,2958.018452000001,4553.876923076923
1768304777,20,,Aggregated,6.000000,0.000000,800,930,1000,1000,2100,2500,2600,3000,3000,3000,3000,74,0,790.0,1021.804622418919,510.38300999999996,2958.018452000001,4323.027027027027
1768304778,20,,Aggregated,6.444444,0.000000,860,1000,1300,1300,2200,2500,3900,3900,3900,3900,3900,87,0,860.0,1114.099376402299,510.38300999999996,3926.7664160000013,4508.517241379311
1768304779,20,,Aggregated,7.000000,0.000000,890,1100,1300,1300,2200,2600,3900,4100,4100,4100,4100,98,0,880.0,1147.663032989796,510.38300999999996,4075.7392349999986,4331.775510204082
1768304780,20,,Aggregated,7.800000,0.000000,930,1100,1300,1300,2200,2600,3900,4100,4200,4200,4200,104,0,930.0,1172.9660208846158,510.38300999999996,4228.956102999998,4361.490384615385
1768304781,20,,Aggregated,8.700000,0.000000,1000,1200,1300,1400,2200,3900,4200,4600,4600,4600,4600,118,0,1000.0,1244.2842162203394,510.38300999999996,4636.693612000002,4466.203389830508
1768304782,20,,Aggregated,9.500000,0.000000,1000,1300,1300,1400,2200,3900,4500,4600,4600,4600,4600,133,0,1000.0,1290.309674639098,510.38300999999996,4636.693612000002,4464.398496240601
1768304783,20,,Aggregated,9.900000,0.000000,1000,1200,1300,1400,2200,3800,4500,4600,4600,4600,4600,144,0,1000.0,1267.1609463055554,510.38300999999996,4636.693612000002,4398.930555555556
1768304784,20,,Aggregated,10.200000,0.000000,1100,1200,1300,1300,2000,3000,4200,4600,4600,4600,4600,161,0,1100.0,1249.4565324223602,510.38300999999996,4636.693612000002,4324.347826086957
1768304785,20,,Aggregated,11.100000,0.000000,1100,1200,1300,1300,1900,3000,4200,4600,4600,4600,4600,179,0,1100.0,1224.534414743017,510.38300999999996,4636.693612000002,4287.078212290503
1768304786,20,,Aggregated,11.500000,0.000000,1000,1200,1300,1300,1800,2600,4200,4600,4600,4600,4600,194,0,1000.0,1188.916368716495,510.38300999999996,4636.693612000002,4200.932989690722
1768304787,20,,Aggregated,11.800000,0.000000,1000,1100,1200,1300,1500,2500,4100,4500,4600,4600,4600,209,0,1000.0,1151.483559531101,510.38300999999996,4636.693612000002,4223.837320574163
1768304788,20,,Aggregated,12.700000,0.000000,960,1100,1200,1300,1400,2500,4100,4500,4600,4600,4600,223,0,960.0,1121.2852629820634,482.28996799999993,4636.693612000002,4135.569506726458
1768304789,20,,Aggregated,12.900000,0.000000,930,1100,1200,1300,1400,2500,4100,4500,4600,4600,4600,239,0,930.0,1098.8938504309629,482.28996799999993,4636.693612000002,4211.523012552301
1768304790,20,,Aggregated,13.800000,0.000000,930,1100,1200,1200,1400,2200,3900,4500,4600,4600,4600,255,0,930.0,1090.9882730627462,482.28996799999993,4636.693612000002,4172.141176470588
