Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1768320812,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1768320813,2,,Aggregated,0.000000,0.000000,670,670,670,670,670,670,670,670,670,670,670,2,0,630.0,648.2191694999999,629.3899139999999,667.048425,3459.5
1768320814,4,,Aggregated,0.000000,0.000000,670,670,680,680,680,680,680,680,680,680,680,4,0,670.0,661.80018275,629.3899139999999,684.4301680000004,3456.25
1768320815,6,,Aggregated,0.000000,0.000000,670,680,1800,1800,1800,1800,1800,1800,1800,1800,1800,7,0,670.0,969.7669390000001,619.6650310000002,1764.7291130000006,4409.0
1768320816,8,,Aggregated,1.000000,0.000000,700,1200,1800,1800,1900,2000,2000,2000,2000,2000,2000,14,0,680.0,1058.455889,619.6650310000002,1962.830675000001,4975.428571428572
1768320817,10,,Aggregated,1.333333,0.000000,770,1000,1800,1800,1900,1900,2000,2000,2000,2000,2000,22,0,700.0,1035.3552548636364,612.9240060000001,1962.830675000001,4478.818181818182
1768320818,12,,Aggregated,1.750000,0.000000,830,1000,1800,1800,1900,1900,2000,2000,2000,2000,2000,28,0,810.0,1062.246434107143,612.9240060000001,1962.830675000001,4800.535714285715
1768320819,14,,Aggregated,2.800000,0.000000,970,1100,1700,1800,1900,2400,2700,2700,2700,2700,2700,37,0,970.0,1142.6106939459462,612.9240060000001,2698.216723,4944.7027027027025
1768320820,16,,Aggregated,3.833333,0.000000,1000,1200,1400,1800,2000,2700,2700,2700,2700,2700,2700,49,0,1000.0,1188.1605634489797,612.9240060000001,2716.7588109999983,5287.714285714285
1768320821,18,,Aggregated,4.285714,0.000000,1000,1200,1400,1800,2000,2700,2700,2700,2700,2700,2700,55,0,1000.0,1205.3585240909092,612.9240060000001,2716.7588109999983,5463.872727272727
1768320822,20,,Aggregated,4.625000,0.000000,1100,1200,1400,1800,2400,2700,2700,3400,3400,3400,3400,67,0,1100.0,1246.7168617313432,612.9240060000001,3416.10788,5508.104477611941
1768320823,22,,Aggregated,5.444444,0.000000,1100,1200,1400,1800,2100,2700,2700,3400,3400,3400,3400,75,0,1100.0,1261.1699979333332,612.9240060000001,3416.10788,5635.16
1768320824,24,,Aggregated,5.600000,0.000000,1100,1300,1400,1700,2000,2500,2700,3400,3400,3400,3400,81,0,1100.0,1264.01071145679,612.9240060000001,3416.10788,5499.555555555556
1768320825,26,,Aggregated,6.700000,0.000000,1200,1400,1700,1800,2400,3400,5100,5400,5400,5400,5400,93,0,1200.0,1449.2138760752687,612.9240060000001,5373.948838999999,5463.4838709677415
1768320826,28,,Aggregated,7.300000,0.000000,1200,1500,1700,1800,2400,2700,4800,5100,5400,5400,5400,102,0,1200.0,1470.2519367745099,612.9240060000001,5373.948838999999,5515.754901960784
1768320827,30,,Aggregated,7.700000,0.000000,1300,1600,1700,1800,2400,2700,4800,5100,5400,5400,5400,111,0,1300.0,1492.5488234954953,612.9240060000001,5373.948838999999,5650.288288288289
1768320828,32,,Aggregated,8.600000,0.000000,1400,1700,1800,1900,2400,3400,5100,5400,6300,6300,6300,120,0,1300.0,1564.1829945416669,612.9240060000001,6296.463820999999,5454.983333333334
1768320829,34,,Aggregated,8.800000,0.000000,1400,1700,1800,2000,2500,3000,5100,5400,6300,6300,6300,128,0,1400.0,1613.227655109375,612.9240060000001,6296.463820999999,5322.640625
1768320830,36,,Aggregated,8.800000,0.000000,1500,1800,2000,2200,2700,4700,6300,7500,7900,7900,7900,137,0,1500.0,1754.114751970803,612.9240060000001,7875.468351,5493.970802919708
1768320831,38,,Aggregated,9.000000,0.000000,1600,1900,2000,2300,2700,4700,7500,7900,8200,8200,8200,149,0,1600.0,1830.4591013624156,612.9240060000001,8249.578684,5513.677852348993
1768320832,40,,Aggregated,9.100000,0.000000,1700,1900,2100,2300,2700,4800,7500,8200,8800,8800,8800,154,0,1700.0,1880.229543707792,612.9240060000001,8751.664302000001,5520.201298701299
1768320833,42,,Aggregated,8.800000,0.000000,1700,2000,2200,2400,2700,4800,7900,8800,9100,9100,9100,163,0,1700.0,1954.7699046441717,612.9240060000001,9060.330158000002,5545.325153374233
1768320834,44,,Aggregated,9.300000,0.000000,1700,2000,2300,2400,3000,5100,8200,9100,9300,9300,9300,170,0,1700.0,2021.0374133999997,612.9240060000001,9291.774514,5519.535294117647
1768320835,46,,Aggregated,8.700000,0.000000,1800,2100,2400,2500,3400,4800,8200,9100,9300,9300,9300,181,0,1800.0,2073.3958219668507,612.9240060000001,9291.774514,5550.07182320442
1768320837,48,,Aggregated,8.800000,0.000000,1800,2200,2500,2700,3700,6300,9300,10000,11000,11000,11000,194,0,1800.0,2249.747472371133,612.9240060000001,10729.258017999999,5600.690721649485
1768320838,50,,Aggregated,8.900000,0.000000,1900,2300,2500,2700,3700,5400,9100,10000,11000,11000,11000,202,0,1900.0,2257.814611990098,612.9240060000001,10729.258017999999,5561.183168316832
1768320839,52,,Aggregated,8.800000,0.000000,1900,2400,2600,2700,3700,6300,9300,10000,11000,11000,11000,211,0,1900.0,2320.0668336398094,612.9240060000001,11472.988732000002,5529.023696682464
1768320840,54,,Aggregated,9.200000,0.000000,2000,2400,2600,2700,3700,6300,9300,10000,11000,11000,11000,219,0,2000.0,2346.1614941141543,612.9240060000001,11472.988732000002,5495.4611872146115
1768320841,56,,Aggregated,9.100000,0.000000,2100,2500,2700,2900,3700,6300,10000,11000,13000,13000,13000,232,0,2100.0,2434.1591545301717,612.9240060000001,12666.838317,5520.3405172413795
1768320842,58,,Aggregated,9.100000,0.000000,2100,2500,2800,3000,4000,7900,11000,13000,13000,13000,13000,239,0,2100.0,2549.306569213388,612.9240060000001,12962.793323000004,5556.133891213389
1768320843,60,,Aggregated,9.100000,0.000000,2100,2600,2800,3100,4100,7900,11000,13000,13000,13000,13000,248,0,2100.0,2618.045543475805,612.9240060000001,12962.793323000004,5518.245967741936
1768320844,62,,Aggregated,9.000000,0.000000,2200,2700,3000,3400,4100,7900,11000,13000,13000,13000,13000,258,0,2200.0,2652.9460770697665,612.9240060000001,12962.793323000004,5432.461240310077
1768320845,64,,Aggregated,9.000000,0.000000,2300,2700,3100,3400,4500,8200,13000,13000,14000,14000,14000,267,0,2300.0,2777.0829054794,612.9240060000001,14454.240771000002,5475.7191011235955
1768320846,66,,Aggregated,9.400000,0.000000,2300,2800,3300,3500,4500,8200,13000,13000,14000,14000,14000,275,0,2300.0,2813.5049932509082,612.9240060000001,14454.240771000002,5498.12
1768320847,68,,Aggregated,9.300000,0.000000,2400,2900,3400,3600,4700,9100,13000,14000,15000,15000,15000,287,0,2400.0,2987.7580353693365,612.9240060000001,15156.799986999999,5583.024390243902
1768320848,70,,Aggregated,9.700000,0.000000,2400,3000,3500,3700,4700,9100,13000,14000,15000,15000,15000,294,0,2400.0,3005.137327585033,612.9240060000001,15156.799986999999,5573.993197278912
1768320849,72,,Aggregated,9.400000,0.000000,2500,3100,3500,3700,4800,8800,13000,14000,15000,15000,15000,302,0,2500.0,3042.753901665562,612.9240060000001,15156.799986999999,5581.615894039735
1768320850,74,,Aggregated,9.200000,0.000000,2500,3200,3600,3800,5100,9100,13000,14000,16000,16000,16000,312,0,2500.0,3132.256947605768,612.9240060000001,16402.226626999996,5605.615384615385
1768320851,76,,Aggregated,9.200000,0.000000,2600,3300,3600,3900,5100,9100,14000,15000,17000,17000,17000,321,0,2600.0,3206.365009214952,612.9240060000001,17330.892703999998,5574.757009345794
1768320852,78,,Aggregated,9.100000,0.000000,2700,3400,3700,4200,5700,10000,14000,16000,18000,18000,18000,332,0,2600.0,3342.3553510180705,612.9240060000001,17699.118381,5637.97891566265
